Auction Year,Auction,Author,Title,Year of Artwork,Technique,Size,Start Price,End Price
2007,Classics of Earlier Estonian Art,Konrad Mägi,Capri Landscape,1922-1923,"Oil, canvas",58.5 x 67.5 cm,33 873,127 823
2022,Classics of Modern Estonian Art,Peeter Mudist,Poetess Lydia Koidula,1974,"Oil, canvas",150 x 100 cm,35 000,111 000
2022,Classics of Earlier Estonian Art,Konrad Mägi,Norway Landscape,1908-1910,"Oil, paper",25.4 x 33.2 cm,64 000,103 000
2020,Classics of Modern Estonian Art,Olev Subbi,Yard With An Old Car,1979,"Oil, tempera, masonite",67.5 x 91 cm,16 500,100 500
2022,Classics of Earlier Estonian Art,Konstantin Süvalo,Pühajärv,1919,"Oil, cardboard ",48 x 50 cm,34 000,86 000
2008,Classics of Earlier Estonian Art,Konrad Mägi,Italy Landscape,1922-1923,"Oil, cardboard",85.5 x 62.5 cm,58 799,73 498
2004,Classics of Earlier Estonian Art,Konrad Mägi,Capri,1922,"Oil, canvas",56 x 68 cm,11 632,64 295
2020,Classics of Earlier Estonian Art,Aleksander Krims,Violist / Musician ,1930ndad,"Oil, canvas",103.5 x 64 cm,11 500,58 500
2020,Classics of Modern Estonian Art,Peeter Mudist,Can´t stop,1976,"Oil, canvas",160 x 105 cm,27 000,58 000
2021,Classics of Earlier Estonian Art,Evald Okas,An Old Fisherman,1955,"Oil, canvas",87 x 90 cm,38 000,58 000
2017,Classics of Earlier Estonian Art,Amandus Adamson,Champion (Georg Lurich),1903,-,7 101 x 35 cm,45 000,57 200
2021,Classics of Modern Estonian Art,Tiit Pääsuke,View To The Window,1975,"Oil, enamel, masonite",55 x 119.5 cm,25 000,45 000
2020,Classics of Earlier Estonian Art,Johannes Võerahansu,Rye Harvest,1938,"Oil, canvas",99 x 119 cm,13 400,44 500
2005,Classics of Earlier Estonian Art,Konrad Mägi,Italian Landscape,1921,"Oil, canvas",67 x 58 cm,34 512,41 606
2004,Classics of Earlier Estonian Art,Konrad Mägi,Beach Landscape,1913,"Oil, cardboard",38 x 48 cm,12 463,39 306
2022,Classics of Earlier Estonian Art,Adamson-Eric,Artist Flowers,1930ndad,"Oil, canvas",49 x 39 cm,13 000,38 500
2021,Classics of Modern Estonian Art,Olev Subbi,A Very Red Flower,1970,"Tempera, oil, canvas",42 x 30.5 cm,3 500,35 500
2021,Classics of Modern Estonian Art,Peeter Mudist,In Summer,1975,"Oil, canvas",73 x 100.5 cm,12 000,33 000
2020,Classics of Earlier Estonian Art,Roman Nyman,Boboli's Garden,1924,"Oil, canvas",73 x 76 cm,8 700,32 400
2018,Classics of Earlier Estonian Art,Johannes Võerahansu,Läänemaa Motif,1930,"Oil, canvas",100 x 120 cm,16 800,31 200
