date,src,volume,avg_price
1997,haus,1343,671.5
1998,haus,58633,1221.5208333333333
1999,haus,52514,1500.4
1999,salong,8097,809.7
2000,haus,80234,1910.3333333333333
2000,salong,57979,1183.2448979591836
2001,haus,48158,1094.5
2001,salong,10736,894.6666666666666
2001,vaal,115545.87999999999,2100.8341818181816
2002,haus,146550,2326.190476190476
2002,salong,45247,1560.2413793103449
2002,vaal,72079.54,1501.6570833333333
2003,haus,182275,2804.230769230769
2003,salong,53988,1542.5142857142857
2003,vaal,92160.62,2194.3004761904763
2004,haus,357382,3970.911111111111
2004,salong,100504,2138.3829787234044
2004,vaal,135499.05000000005,1782.8822368421058
2005,haus,367089,3059.075
2005,salong,71484,1401.6470588235295
2005,vaal,182915.12000000008,2650.9437681159434
2006,haus,392092,2450.575
2006,salong,97656,1655.1864406779662
2006,vaal,354901.32999999996,2609.5686029411763
2007,haus,662697,3875.4210526315787
2007,salong,74262,1428.1153846153845
2007,vaal,508832.5899999997,3200.204968553457
2008,haus,533908,4204
2008,salong,104441,2984.0285714285715
2008,vaal,517204.9899999999,4137.639919999999
2009,haus,112628,1975.9298245614036
2009,salong,63986,999.78125
2009,vaal,54229.03,1643.3039393939393
2010,haus,60553,1476.9024390243903
2010,salong,128358,3056.1428571428573
2010,vaal,52982.72000000001,1431.9654054054056
2011,haus,77855,2162.6388888888887
2011,salong,233385,3764.2741935483873
2011,vaal,68915,1914.3055555555557
2012,haus,203185,4955.731707317073
2012,salong,99635,1879.9056603773586
2012,vaal,196200,4360
2013,haus,148145,2693.5454545454545
2013,salong,157245,2214.718309859155
2013,vaal,67775,2186.2903225806454
2014,haus,104295,2607.375
2014,salong,243175,3473.9285714285716
2014,vaal,167490,2427.391304347826
2015,haus,212975,2957.9861111111113
2015,salong,109600,2149.0196078431372
2015,vaal,277050,6443.023255813953
2016,haus,145525,2466.5254237288136
2016,salong,118425,2153.181818181818
2016,vaal,111400,2931.5789473684213
2017,haus,387650,5618.115942028986
2017,salong,151875,2080.4794520547944
2017,vaal,115300,2620.4545454545455
2018,haus,415650,6112.5
2018,salong,282650,3446.951219512195
2018,vaal,328300,5211.111111111111
2019,haus,411300,5273.076923076923
2019,salong,395500,5273.333333333333
2019,vaal,194000,3660.377358490566
2020,allee,274150,5711.458333333333
2020,haus,769950,7699.5
2020,salong,169750,2496.323529411765
2020,vaal,215550,4490.625
2021,allee,853350,4612.7027027027025
2021,haus,1840100,6815.185185185185
2021,salong,388300,3922.222222222222
2021,vaal,327700,6183.018867924528
2021,vern,1090435,6731.080246913581
